epoch,train_loss,train_acc,test_loss,test_acc,fs_1shot_mean
1,6.889142210120397,0.0017116182572614108,6.918494631943194,0.0010622154779969652,0.46519998654723166
10,3.684062818817745,0.37183609958506225,8.623211119938823,0.0017450682852807283,0.625999980866909
20,2.460094197696408,0.5379149377593361,10.416785980891255,0.0019726858877086493,0.6367999848723411
30,1.8915350200324659,0.6351141078838174,11.343887551316937,0.0018968133535660092,0.6415999844670296
40,1.4797547984596908,0.7244294605809128,12.045833263582397,0.002276176024279211,0.6363999852538109
50,1.1564839403360885,0.7974585062240664,12.421726384209197,0.001441578148710167,0.6283999875187873
60,0.8969692287855591,0.8617219917012449,12.939537427957776,0.0018968133535660092,0.6295999830961228
70,0.6932008965125936,0.9118257261410788,13.155021241567667,0.001669195751138088,0.6095999839901924
80,0.5380335692933064,0.9432572614107884,13.488172077438206,0.0017450682852807283,0.6067999848723411
90,0.4187045198007925,0.9658713692946058,13.770298809681124,0.00204855842185129,0.6015999844670296
100,0.33277654578748916,0.979201244813278,14.006778698523068,0.0019726858877086493,0.6287999826669693
110,0.26973750516278855,0.9854771784232366,14.231235726365766,0.0015174506828528073,0.5883999824523926
120,0.22312670215865635,0.9895228215767635,14.454297630532274,0.001669195751138088,0.6103999848663807
130,0.18796841869291092,0.9927385892116183,14.6044849377234,0.0017450682852807283,0.6311999842524528
140,0.1610962397708798,0.9938278008298755,14.789915205205528,0.0017450682852807283,0.6443999847769737
150,0.1406011450665676,0.9951763485477179,14.915882897608489,0.001669195751138088,0.6363999864459038
