epoch,train_loss,train_acc,test_loss,test_acc,fs_1shot_mean
1,7.078260042809493,0.001504149377593361,7.0222140839956335,0.0015174506828528073,0.587999986410141
10,5.739307166724805,0.04610995850622407,7.410976636756971,0.0009104704097116844,0.6031999859213829
20,3.8475717440346218,0.2813278008298755,9.324220453651206,0.0019726858877086493,0.6063999852538109
30,2.9446054910192427,0.42136929460580913,10.519923228661991,0.002276176024279211,0.5931999844312668
40,2.403752559068187,0.516649377593361,11.295650509954656,0.0024279210925644916,0.5823999845981598
50,1.9090703228451558,0.6025414937759336,11.921897934478464,0.002503793626707132,0.5991999855637551
60,1.5685707757015102,0.67899377593361,12.494778309053588,0.0025796661608497723,0.5919999852776527
70,1.3052430346312112,0.7357365145228216,12.952155002112528,0.002655538694992413,0.6091999873518944
80,1.0189438805674875,0.7927904564315352,13.394138104707292,0.0025796661608497723,0.6275999817252159
90,0.8729827100078001,0.8327282157676349,13.749183812187713,0.0028072837632776935,0.6043999847769738
100,0.7446955991107107,0.8615145228215768,14.112759071646385,0.0028072837632776935,0.616399982869625
110,0.6162802906620581,0.8920643153526971,14.425967957209615,0.002883156297420334,0.6251999807357788
120,0.560441452146366,0.9104253112033195,14.716171588712525,0.0028072837632776935,0.6019999855756759
130,0.4710161170817369,0.9272821576763486,14.983559784379977,0.002959028831562974,0.622399983406067
140,0.40936191715546794,0.937551867219917,15.177743930261112,0.002959028831562974,0.6035999827086925
150,0.3803370735108458,0.9483921161825726,15.424688070723153,0.0030349013657056147,0.6271999847888946
