epoch,train_loss,train_acc,test_loss,test_acc,fs_1shot_mean
1,8.928524431013903,0.0011929460580912864,7.764159734966685,0.00030349013657056146,0.34119998939335344
10,6.434886231327688,0.02033195020746888,7.4977755778044175,0.0022003034901365705,0.3651999898999929
20,4.639103081052666,0.1808091286307054,8.924530455209677,0.00204855842185129,0.38679999090731143
30,3.526629419516254,0.3408195020746888,10.347908816291291,0.0015933232169954477,0.404399988502264
40,2.8200519748081434,0.4400933609958506,11.278735225640455,0.0017450682852807283,0.4079999905079603
50,2.3036929590023116,0.5204356846473029,11.883872041424501,0.0018968133535660092,0.423199987411499
60,1.9256856094132986,0.591701244813278,12.748894691467285,0.0019726858877086493,0.43239998996257784
70,1.6268048010125065,0.654045643153527,13.105647735225345,0.0018968133535660092,0.39919999055564404
80,1.3816366890408345,0.7116182572614108,13.713404275838611,0.002276176024279211,0.44279999025166034
90,1.1729048522102912,0.762707468879668,14.004792463432238,0.0024279210925644916,0.45959998816251757
100,0.9876040026841574,0.8085580912863071,14.28331334382585,0.0019726858877086493,0.44559998832643033
110,0.8359627052648178,0.850155601659751,14.761738129032468,0.002352048558421851,0.461199988424778
120,0.7126310866400106,0.8831431535269709,14.93191712573894,0.00204855842185129,0.4311999882757664
130,0.6036611844767008,0.9087136929460581,15.384776087640558,0.0024279210925644916,0.45439998611807825
140,0.5177426004646629,0.9313278008298755,15.61241695255909,0.0018968133535660092,0.44039998687803744
150,0.43984584460984794,0.9505186721991701,15.79868190728345,0.0018209408194233688,0.45119998723268506
